preprocessed_review_text,sentiment
used product small amount go long way month usual moisturizer noticed change skin appearance good bad would purchase future,0
track n't worth price paid free,0
used curly hair awful everything bad could say would gave away someone straight hair first time saw thought hair looked nice much fuller told said using stuff gave,1
bought local hardware store amazon since everyone us amazon reviewing product buy thought would put comment worth buy good brand duct tape work better tape barely stuck lap top hold piece way would hold brick like commercial show paid good money thinking strong wrong shoot even cheaper silver duct tape buy kmart stick better .... leaf residue behind still hold,0
purchased friend,1
stuff taste pretty good convenient last long time opened still last longer say box opened really like milk 's thing,1
liked song begin usual version n't necessarily 'grab anymore version outstanding reach right soul,1
nice large capacity small bottle variable nozzle produce pattern mist stream,1
like pretty well giving 4 star seem really dry hoping old time soft oatmeal feeling put mouth instead quite crunch nothing offer nin old time oatmeal feeling mouth really taste like oatmeal seemed like crunchy cereal market ... much taste nice crunch looking would say pretty disappointed expecting oatmeal taqste wich crunch added opinion get crunch oatmeal flavor oh well another box cereal pantry add dried fruit packet sweetener ok hit spot hoped would,1
first heard song history chanel trailer viking downloading day keep song repeat particularly like lorde 's song one great sound like extends word ending `` '' would recommend song anyone like music us electronic sound,1
love chocolate fun snack eat,0
wonderfully lightweight hair dryer work well dry hair quickly warm setting plenty need even long thick hair high setting dry hair even faster uncomfortably hot favorite thing dryer nice light 's lightweight almost feel like toy even half hour continuous use drying hair several kid hand n't feel tired reason 'm giving four star rather five cool button cord cool button easy press pressed keep dryer cool button situated right want grip handle adopt somewhat awkward grip order keep pressing button cord reason 's heavyweight matte finish cord long see advantage professional salon home cord becomes combersome make otherwise lightweight dryer heavier need since 're hold several foot cord using,1
nice soap razorock xxx much better lathering slickness protection,1
n't hold edge place thought would,0
great pairing amy mark ronson produce retro feel piece younger fan think amazing senior listener play name tune sample including `` ai n't mountain high enough '' worth owning,1
really really wanted miracle product others said ... however helped little much like reviewer said turned 40 last year like 'gift cystic acne tend neck jawline tried everything avail buffering lotion seem help get rid -- would say reduces blessing miracle mean,1
well loaded got error software tried register online great way introduce suppose 'll try later n't bode well,0
's sriracha arrived hide people steal 's cult thing,1
coating hard plastic crimp easily also metal n't run full length plastic sleeve little area crimping wire,0
well bought h r block extremely unhappy found major glitch interview would affect lot people n't knowledgeable tax first major problem install assume bad disk would n't boot directly disk kept saying try finally use computer try 's got load desktop icon green square could glitch everything make trust validity disk interview terrible compared tt major flaw found putting social security 1099 n't ask medicare amount paid n't pinpoint part interview even get medical insurance schedule a. found interview overall extremely lacking form view truly suck incorporate worksheet form making much clutter confusion going back tt since intuit making good screw tt customer since mid 90 's block ok tt ten year ago block way behind working kink revision found two major glitch already returned bought tt n't trust medicare deduction medical manually added tt asks info ssa-1099 n't carry proper state income tax refund info told refund taxable took two hour comparing two program find mistake,0
full size roll roll rip-off bargain exceedingly soft n't service purpose purchased miniature roll deceiving,0
like keylime better one hit miss 're gon na love hate hated one flavor weird together bleh,0
prefer individually wrapped,1
5th order usually get wheat got white time ..... always fresh disabled mostly homebound 50 ..... amazon pantry really help freeze take needed never funny tasting moldy bad batch would sent back 'm fine price 2.25 per ... would pay store highly recommend fast shipping thank amazon helping disabled individual get store much would like,1
worst taste ever force eventually strong coffee never get flavor milk chocolate thing,0
granola great flavor used yogurt like eating healthy treat,1
polish received look nothing like one shown sale look similar essie 's `` play date '' also first time 've purchased nail polish online lesson learned stick purchasing polish person,0
dairy free even though say item description careful,0
great,1
better,1
junk,0
nice brush well made,1
n't expect kind miracle stuff kp gone away become noticeable le bumpy still little red dot upper arm 're bump 's definite improvement book,1
healthy taste good eat healthy good buy planter highly recommended,1
useless,0
kind graphic creation regular basis one reason must program converting image vector graphic budget nutshell mean infinitely reduce enlarge image distortion still money pocket reason 2500 font font navigator fantastic finding right typeface screen capture software little use folk need screencaps game movie etc. might prove useful fontaholics obsessive clip art collector beginner program come font nice starter pack clip art 'll ready start playing right away admit 'm crazy interface 's level photoshop confusion seems trade-off graphic program program complicated button menu caught quickly used program year knew keep looking could n't find duplicate certain function fortunately 'll never really 's great corel many tutorial great product support even 've familiar graphic program 'll find new feature explore 're unsure something always find help wo n't find plethora third-party book class online tutorial like photoshop corel 's resource and/or rudimentary knowledge program probably wo n't need require effort end result worth n't feel program serious competitor photoshop 's great le expensive alternative want something corel 's paint shop pro another great product n't adobe budget seriously look program,1
interesting song,1
loved song downloaded single comforting believe hear loved one taken care loved music,1
waste time wife complains ad little read,0
truly stupid,0
glad matchbox came new music -- rob thomas talented definetly worth buying worth waiting,1
probably reorder expensive,1
bust cream particularly absurd bought wife bust cream silicone-like clear cream slight scent dry clear 's big difference slightly tight feel skin actually firming breast need several pump pump much cream enough cover breast stretch mark cream thin white cream stronger scent 's nothing remotely medical cosmetic lotion really like mustela brand stelatopia unscented moisturizing lotion 've used ton milky bath oil bathing child lotion marketed pseudo scientific nonsense firming agent joke trace quantity avocado medical action 's shame brand build trust one product erode false claim another,0
use make strawberry milk yummy good stuff,1
love song really get moving 's elvis love music rock soul,1
love,1
pictured 80 almond 15 cashew 5 nut brazil nut lucky might get 4 pecan disapointing,0
ok,1
nice song,0
cheap thin aluminum,0
absolutely fantastic song,1
thing know every measurement right away without averaging time electronics great jaw front back thin thin area thick ca n't measure grove old pair measure,0
